,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120
LRRC19,100.3618214,101.9422378,100.7320657,102.0806555,100.7361001,101.3945126,102.0675639,100.4244546,100.5882579,101.7634883,102.7640344,101.8918908,101.1193236,100.4619909,100.5386537,100.8022954,102.1742319,100.6232622,101.4750302,99.95244283,102.2625652,101.9219178,101.9889556,100.6825969,102.0269946,102.3592044,101.8514334,101.8210525,100.1471238,101.7586054,99.7384803,100.3911333,101.9512302,99.40052567,101.1359246,101.4576138,101.4211706,98.41314993,100.194576,101.3216962,101.042948,99.66283898,101.7637707,100.5632566,101.782165,99.35608925,102.5750513,103.1409626,100.5330151,100.2667023,103.4587485,102.1433242,101.2027545,99.82625406,101.4682554,100.1225727,99.18816664,100.0424923,98.57666971,100.1485225,101.6102788,99.61535465,101.3433005,100.7315013,99.71795318,100.1857458,98.96047607,100.9882042,101.3455461,102.6289667,102.0966952,102.1371699,102.9698175,100.2396415,102.4652693,101.8979791,100.8746878,101.340431,100.6377808,100.2893428,99.77719996,101.1100823,101.4332663,100.3471907,102.2164237,100.8499543,101.2320802,103.7698293,101.3973028,99.17023096,100.8814175,100.0932102,102.2495063,102.1423352,100.5022802,99.90734861,99.94026552,100.0859796,101.5434877,103.0978712,102.0746473,100.3248973,101.8283019,99.43632649,100.5184004,104.1674554,100.3700127,101.4277481,100.2470685,99.9526751,101.8672998,99.85217816,103.3647771,99.30835788,100.5974507,101.6324825,102.9977776,99.9407266,100.9540331,102.5261792
KIR2DL4,89.06160708,88.99728792,89.92160548,89.38799801,88.3590104,91.57600633,89.87452048,89.72470577,89.5799778,90.30161956,88.85534759,89.00351451,88.42786014,88.59524826,90.27266247,88.64760177,89.41990338,90.64326384,87.86302232,90.84989142,89.15935825,87.50617386,89.23908223,89.21438456,88.36491372,88.14780411,89.46847173,88.69129034,89.69352014,89.97292078,87.7876694,88.78277235,87.71494807,88.09461045,89.57997524,88.77039857,89.14861197,89.24225427,90.04990751,89.20917533,89.43132579,88.1631045,88.63218999,89.32388424,89.14860339,89.40243341,88.04779048,88.72221188,88.02830739,87.68851612,89.03801238,88.24043284,89.6407808,89.42428333,90.41778513,89.31067061,89.95606517,89.00856202,86.51990022,89.01177354,88.24642462,89.67627532,88.60313379,90.24432163,88.57803741,90.76972948,91.33645407,89.96378616,88.76603866,89.26439064,90.17529885,89.33855045,88.68939377,89.67425346,88.20370993,89.56257459,86.95228889,89.1231361,88.8889341,88.87340724,89.29749831,89.50367501,88.19825079,90.13098968,87.83435855,88.87775067,89.47703786,90.04611917,89.59695483,87.96430296,89.41160318,88.15341348,88.66869322,88.56863431,87.97602105,88.22806454,88.3008256,89.0945723,89.89897788,90.52075953,88.28624492,87.07316664,88.56044599,89.75657575,89.1250948,88.98189095,90.04361248,87.5175573,87.14065023,89.16880365,91.08034136,88.98641479,88.21813765,88.87435498,88.27481384,86.98950505,89.21068075,88.67031478,88.58897102,88.77893584
EHBP1,116.8960817,118.2999381,117.0932641,119.1307781,120.4020696,115.3277545,116.0137551,116.8751557,117.583091,116.4612346,118.2240582,116.7813085,115.5793335,119.4038376,116.5232456,118.8176909,115.9178375,118.3256405,115.8825388,114.8087672,116.0308338,118.9104972,115.9785439,118.227189,117.1857516,117.022757,116.6158535,116.7105531,116.5316928,118.7849713,117.1084998,116.3268622,117.0250494,119.262256,119.1348857,117.0711693,117.923704,118.9805288,116.2247244,118.4637538,116.5752318,117.0392124,114.5839134,119.0788612,116.7504224,118.8086257,118.1286311,117.5352952,117.3304857,120.1806021,119.3466858,117.0039269,115.0588896,119.9884893,117.8936898,118.104706,115.6167738,114.8878467,116.440901,118.8967144,118.9652123,117.1527084,117.4243963,119.1806991,117.5059507,116.7095154,119.1085164,119.2939873,115.6160696,118.2439268,116.1031656,117.3057975,118.8645284,117.3387777,117.169607,119.9084908,116.3650603,117.8184296,119.4640337,117.8639332,116.319387,117.777136,116.7909056,117.5369787,115.3149217,118.2561738,120.1278754,116.7362237,117.3324796,115.74505,116.3054477,117.2114639,117.0884154,113.6403904,116.4732651,116.7029382,117.2200995,117.6520449,118.4855854,116.5857311,117.0907571,117.1611057,116.66629,118.7129323,119.0733026,118.4328796,116.3240996,116.5583793,117.3712185,117.1582912,119.500731,116.9721826,116.6066932,115.4645198,118.4708622,117.2579014,118.4642411,118.3447089,118.9452857,119.3771991
CCNH,106.1600364,105.4949031,105.7911153,105.7162382,104.248989,106.1910165,104.4122207,106.3844254,103.4842324,105.85529,105.4949901,105.3194506,105.3748298,108.552819,103.0364807,104.6951822,105.5509534,105.7192148,104.5690171,105.0878121,103.6194865,103.2522178,105.6522972,105.5704494,104.445741,103.818359,105.5891515,105.774503,106.2220203,106.2850848,105.6535748,106.9889315,105.4166532,103.1972106,104.5639553,106.4014054,103.6704202,105.3645598,105.4611287,105.9763456,105.4701104,104.5064759,105.8237485,105.5855971,104.5744669,105.5416071,104.4230978,103.7908215,104.9787891,105.6781821,105.1689857,106.318676,102.5676914,105.3517137,106.1021148,106.3854049,104.4772294,104.72862,105.1588456,106.3518874,105.8618924,103.3117589,103.1218074,105.0358689,105.6469834,104.9503836,104.229232,105.3034736,104.0558529,107.5467999,104.1246721,105.3992715,104.4318253,106.1569429,104.0483087,104.8558395,105.9218308,105.1770659,106.1993079,106.4909112,105.6103991,105.3757773,106.7903035,106.7899931,105.3909187,104.2647098,105.0479132,103.9336133,105.376839,103.714238,105.775175,105.4806723,105.1998834,105.6841036,105.4475819,106.6825703,106.9947214,106.1005193,104.9099145,104.045197,104.6705773,106.7667052,104.9282923,106.1608136,105.8625329,105.3769982,104.7498808,106.3341058,104.6966244,105.6431446,104.7592034,104.9897973,105.0776433,106.45685,104.0951635,105.7188096,105.7448355,105.5365192,106.3332353,105.3762638
ARSE,86.04632711,87.78524701,87.66500567,87.52203679,88.28127773,84.76836797,87.32678321,88.11368196,86.97760045,85.98001705,86.84254976,87.92120409,86.766715,86.46756515,87.912478,86.85967749,86.60688145,86.40494484,86.87638185,87.58363799,88.35761778,87.74635373,86.30991094,85.64501301,87.49930444,86.04882012,86.34383824,88.50029935,87.23857748,85.85146148,87.63089533,86.08888341,86.50738555,85.98927507,85.07850579,86.13140528,86.68239039,87.11001415,85.44033697,87.14036442,87.62123245,87.18124739,85.09551921,87.53505089,87.52527215,87.13474638,89.63130289,86.40154358,85.88860456,85.81424855,85.5557007,88.40655431,86.53085963,89.57746182,86.79530983,86.3676891,86.74813746,84.49007671,86.1121105,88.37056786,85.98922508,86.85251228,87.44079449,86.77774802,86.63236589,88.05019398,86.73928546,87.30044519,87.3399345,85.50933448,87.03959849,85.26572636,86.28037658,87.24417034,85.187599,86.96408032,87.982559,86.23835658,87.52351254,86.25256941,86.8078444,87.27055169,86.48953115,87.48252675,85.71368907,86.53605202,87.08342288,87.3414845,88.40937209,86.17156207,86.76154708,87.29913536,85.48305847,87.32531797,88.15190248,87.29981178,86.43740343,88.46202423,87.52474744,86.76056585,86.33530788,88.12131217,87.4001645,86.77073183,86.211273,85.96507485,85.47585232,87.9444228,86.02317278,87.60691237,86.54566665,86.57620251,86.22417267,88.57755366,87.12875489,85.99272394,86.16310748,86.26430757,85.78204149,87.44003205
C2orf74,102.2388058,103.2249911,104.2571398,102.6337653,101.7950878,102.6729037,101.6062312,102.3645351,101.0835375,102.9992543,103.2290675,102.0996779,104.2404059,102.9048218,101.4810712,104.6279915,103.0837134,104.3053519,100.7790477,103.00152,103.9663305,102.8054331,103.2884775,102.9783031,103.1503781,102.292595,103.272164,103.5435554,102.9595995,101.5560684,101.4332689,102.7962537,102.1893604,102.6484461,104.5960648,102.0492029,103.9611947,103.2967585,101.9093405,103.2419717,104.3835832,103.7459275,103.9149234,102.0371681,102.1714226,102.329503,102.5036115,102.5789814,101.2602344,102.0592287,102.9660295,103.1623674,103.26087,103.4694095,102.9011715,103.0082489,103.0185546,103.644595,102.1023046,102.5481102,101.0567307,101.7665482,103.0857591,102.880105,104.2020063,103.4058325,103.0859615,105.701139,103.5621543,104.2038354,102.5216149,104.6049586,102.7811746,102.4630099,103.8457848,104.3477965,102.6876702,101.4408598,103.6561547,103.4363587,101.0922277,103.4331125,104.6062351,103.0223003,102.7401323,103.1317746,102.8569502,101.9602473,102.327642,103.7716434,103.5820963,102.9720395,103.3802218,103.1626649,101.4185251,100.2581284,102.7864951,103.9902709,102.6667876,103.6248511,104.0217838,103.9168018,102.4808882,103.7843555,101.1599925,102.6470608,104.5762381,102.1087756,104.0648104,102.2774283,103.5529913,103.221029,102.5275556,101.4084992,102.4886761,101.5503327,102.245841,102.8999202,104.5397721,103.7484066
C12orf42,102.785999,105.8944057,107.0949869,105.4439074,107.6764472,107.0761268,104.4124764,104.5022613,106.4189889,105.5788273,102.1922649,105.3280155,104.116963,103.2224671,104.6491009,105.2056677,104.2167521,105.7917643,106.3264725,103.9255424,105.9711708,105.1307102,103.6021229,103.5201263,103.1828441,104.396201,105.949295,106.7270599,105.0008901,106.0930963,106.4321156,106.3847467,107.7363836,106.352772,105.0513561,105.2367225,105.1921019,104.7120885,103.9548405,104.8442071,105.0039708,105.8919132,105.5166619,103.4875489,105.0153672,105.6357238,106.0803493,106.2915043,103.9149831,106.214015,105.0425692,105.2352727,105.3758165,105.0680261,105.9288591,104.2412512,105.0373057,104.3713469,104.4551959,105.6089961,106.198743,106.0431822,104.9682397,104.413474,106.8428628,105.3414556,103.8804876,104.299033,106.0239753,104.7005246,104.0163207,104.4950915,105.9980967,106.0769527,106.4814895,106.0301754,103.3366076,105.2326022,106.2894027,104.8259024,106.8067428,105.2720868,106.9308872,103.0694826,103.7016948,104.4388697,104.6816597,104.7865444,106.7127766,106.6744789,105.763971,104.2344432,105.3943312,104.5016858,106.0815658,106.1366745,105.6640893,105.6772523,106.49484,104.4902991,104.1375986,105.1621169,104.9115334,106.2532602,103.6237338,106.3357156,105.373513,103.8972095,105.8529018,106.158905,105.1089657,103.9085937,106.2758415,106.6884258,104.3078625,105.4014766,105.4943544,103.9157524,105.945867,103.6231895
GIMAP1-GIMAP5,81.47918714,81.57514906,80.76583454,81.58809271,81.08507392,78.65625823,81.67379177,82.54309225,81.59089106,81.3925104,80.32669994,81.73873766,80.28229896,81.71318602,81.89886576,80.88012386,82.61978244,82.73261005,80.7417691,81.29743992,80.51895789,81.29454567,81.09085629,81.3199304,79.39467529,82.02336037,81.5174936,82.70084924,82.30557381,81.71324371,82.15787215,80.14553909,81.66066375,82.53156334,82.56536503,82.86731926,82.02609865,81.92663603,80.96480496,81.15534288,82.37427118,81.62199877,79.97338129,81.03470635,82.09537242,81.29925511,82.93562709,79.51139324,82.15942363,81.01933792,81.18938855,82.19718283,81.53872463,81.4330023,80.34316224,81.90604441,80.74663906,80.62178048,80.4226732,81.39473457,80.98930437,80.96967905,80.87065717,81.37033511,81.52158226,82.26228677,80.59182446,81.64135809,80.72912328,82.72006792,81.06945395,81.30824803,81.77700375,82.32126226,81.36351033,82.4526073,82.16225913,81.81999722,81.87759605,81.39188443,81.05246179,81.44879802,80.87626726,80.11165938,81.9615565,81.63301585,83.15981775,81.27726356,82.08731974,81.71086226,80.94885801,81.99193755,81.66799103,81.90704141,82.402989,81.01703906,81.22377148,81.47662866,81.26648935,81.83349213,81.4035293,80.747462,82.65564859,81.30959209,80.87804278,80.72607554,82.54830952,82.43066342,81.25378014,81.14253833,81.63767734,81.4297663,82.19713297,81.45571422,82.12951533,81.22242799,80.33627924,80.3701373,80.70582656,80.25082062
FMO1,109.394043,109.4511379,107.6457338,106.5743654,107.6600961,108.4797335,108.3061973,106.9602377,108.8115604,108.2290402,107.4934644,107.9822172,108.8670306,108.5933674,107.1699112,109.6401338,109.051899,108.0509269,107.4271807,106.3112958,108.2674885,107.5749044,108.7573707,107.3224335,108.9159683,108.6643809,109.0554471,106.90535,107.0054593,108.2792527,109.3788053,108.1839931,109.1619206,107.5242023,108.2735357,108.3928436,108.5712767,107.615075,107.7438195,108.7819897,109.7726992,110.4250215,107.8342504,109.0027697,107.902492,108.6423248,108.6978849,108.1632902,107.9306861,108.347784,106.571333,108.7858753,107.3940293,108.4565085,107.6253072,107.7777504,108.0732926,107.0544116,106.379501,107.6838152,107.9108656,108.069357,109.8637891,108.2742727,106.9086102,109.3212746,106.7958376,107.601202,106.7627491,107.0236993,109.6680989,107.8508468,109.1691408,109.3989574,108.0617319,108.5976455,108.607518,108.7681674,108.7359031,108.8518135,109.7122705,110.5944193,109.7498312,108.5509819,106.8326775,108.0351075,107.0285368,109.3474283,109.4668259,107.5776812,108.333619,109.0636094,107.8250602,105.6695582,108.7558729,107.1097494,108.1651288,109.4301361,108.6004434,108.4824094,107.834607,108.4540125,107.142586,109.8354467,107.4898732,107.7387203,109.1337357,108.8333088,108.1655325,106.0616724,109.1942346,108.8948178,108.6413106,107.846933,107.8264424,107.2136059,107.6137753,109.8108014,109.0033842,108.9255471
FAM178A,97.07137556,97.68753424,95.6412591,96.74075537,96.08262434,96.58042697,94.78734585,95.49228902,96.79685796,97.10479859,98.57556689,96.00687212,97.15985084,95.6369799,97.53924654,96.00059788,96.946318,96.44326999,97.0420859,96.8814437,95.62075025,96.09631809,95.01319674,97.25133069,97.27082369,96.91171815,96.92350551,97.57023423,96.64986289,95.06947912,96.77698279,96.18016159,99.22967259,98.38569671,96.49613575,96.24461371,98.57206977,96.01989274,97.71154227,97.66706123,96.84285231,97.25335789,96.62655948,97.09660961,95.65320889,95.8732919,95.09700849,97.32920646,96.08393426,97.13996592,97.55569732,96.41051547,96.27382752,96.72693582,95.42527401,95.9358836,96.59712944,97.71000728,96.3794896,96.80045313,96.41896545,96.53352006,96.53102879,97.00415666,95.77149819,97.29016252,95.30463243,96.24917539,97.51169738,96.67848711,97.84490148,95.41690538,95.9857133,96.53805659,96.43956728,94.96164529,97.21926322,97.32565368,98.99519318,96.90312025,96.96129597,97.11258413,97.0230982,97.18151929,95.83964587,96.84841673,97.0278499,96.28679332,96.95284646,97.26782589,98.63167853,96.2747678,96.98031987,98.79320191,97.94652832,96.73140656,97.0718244,98.4616622,96.35713935,98.12356673,95.62790324,97.43114898,95.6905122,96.30674019,98.28594705,98.27787363,95.88689371,98.46705417,97.69077711,96.06922889,96.87992417,96.00578881,97.62055576,96.68681945,96.87736855,96.19641083,97.66502293,96.32750404,96.8070832,95.50295115
ATOH1,107.4349007,104.5127253,104.0351517,104.7564757,105.2097022,106.1355169,105.9581479,107.0086253,106.7216279,104.3269079,105.6860182,107.5623537,106.0387298,106.1224714,103.8089931,107.2488658,106.2778752,107.0007575,107.3603042,106.5787379,106.7865015,105.4896085,105.0181089,107.3387298,105.5941707,106.0746984,107.388268,104.0850658,106.5386763,105.0208268,105.4580584,105.2267856,103.4447358,105.0308236,107.3120791,106.5852291,105.3641234,106.4722454,106.8076162,105.2719046,105.4645998,104.1362694,105.275156,105.6744395,106.0424544,106.293282,104.2855037,104.6753607,104.0038742,105.6634705,105.8669295,106.5428682,106.1458093,106.0669092,105.0469733,105.9519567,108.0690675,105.1749152,106.365041,105.3976331,106.7895406,104.2398507,105.9879958,105.5720917,105.4558037,105.2001873,106.4025422,104.2809217,104.6790202,107.0295341,106.2383059,105.5723403,104.8260005,107.6920504,104.098042,104.7944264,108.3697152,104.2422263,105.8300738,107.3090743,105.9846758,105.3429635,106.1621311,105.9850826,107.2869279,105.5456072,104.8285322,105.4832771,104.7497709,105.5581653,104.9426822,105.8946545,105.5328371,105.5207385,104.7649882,106.0145514,107.326758,104.3762481,105.2032113,105.8676236,105.4067108,105.7420407,106.4812683,104.8658481,105.3545842,104.302016,106.6085106,109.1502938,105.7922166,108.3155301,104.9088807,105.322959,105.3173604,105.8317368,104.7003785,105.0059996,105.6900405,105.0813165,105.516255,105.1740042
FOXM1,105.2643647,104.2316709,105.2624102,106.5279106,105.0357637,103.974968,104.647119,104.8431699,105.6008872,105.8117148,106.5953035,105.0122604,104.9325042,106.6251238,105.1093807,105.0639946,103.7444344,105.4638866,105.5838044,105.2447737,105.1369843,105.8881302,106.2429759,104.9707448,104.0996595,106.2322124,106.3027602,106.3854575,104.4647143,103.2701565,104.9449529,103.512505,104.289502,103.834016,104.1699237,104.2736597,106.6118723,104.1861156,107.1074737,103.688946,106.1989893,104.9235256,105.3195721,104.6221318,105.3651658,106.7375643,105.5150674,105.3796676,106.2272058,103.6760559,105.0312588,104.4797315,103.9404626,104.7196451,105.7088302,104.8069431,106.1219865,106.6882143,107.6972937,105.1047694,104.7922947,103.4261379,106.6152313,105.499804,104.390137,104.6039069,105.2546933,105.5394505,106.0213439,104.2789584,106.385526,104.7831448,105.2968756,106.2495271,106.190604,104.879081,104.1062383,106.7043262,106.6112882,106.3487624,103.5806837,105.5912621,104.0910497,103.955747,106.4303264,105.1595856,107.149893,105.2256138,104.7458038,104.3201405,105.8867684,105.8436531,104.7088206,105.0142443,102.0933284,105.4387884,105.0144157,104.6854827,105.1171023,106.8800894,104.6680677,103.3794278,106.2765037,105.5956557,106.0924612,106.7407825,103.5526817,104.1022541,105.3779026,105.6810027,104.0623281,103.3409766,104.8850137,104.7384527,107.1919169,104.8927131,103.706214,106.3659558,103.9594792,104.2107741
DCBLD2,98.19224385,97.34567533,98.61782411,97.9301577,98.10631644,101.182876,98.45119801,99.22186197,100.481478,99.35993307,99.0998335,96.68267035,97.98612047,97.84502011,98.12741938,100.0179054,99.70708439,99.47444388,97.50317924,99.64544367,98.54225192,98.65348214,98.65788635,100.5734332,98.93773228,98.47125097,98.76362355,98.63022874,98.85767636,99.17568184,99.03223958,98.7559932,99.05611842,98.37467732,99.65760412,97.72199978,97.38691225,97.54467987,97.99375223,99.02425657,99.16144672,101.2303109,99.59587734,98.81587199,99.35441846,99.16724603,97.20212083,99.55757092,96.17236954,99.75972096,99.54089595,99.26183585,98.15886792,96.25202297,96.32508046,99.09967642,101.139994,99.63370635,98.88285989,97.65736895,97.63626099,96.89895578,97.09591561,99.40364432,99.13325008,98.27734105,98.33599365,100.1487376,99.0437282,98.50982512,97.99631826,100.0189996,95.6025857,98.45776203,99.28580079,98.08629385,99.22634347,98.47494507,100.4766129,101.2066826,98.76703468,100.7646361,98.28689706,97.487855,97.21448504,98.976736,100.3864138,99.91844838,98.49320144,100.5648537,98.60113055,99.38451085,98.61234906,98.49732957,99.86279791,98.78095158,98.634803,97.96706804,98.35049576,97.44561047,98.65196328,99.79031841,98.81322415,98.85886197,101.2704947,98.58031161,98.60028962,97.22317467,99.2646389,98.73266223,99.46030999,99.02245259,99.86476589,96.88255789,100.4050225,98.84816543,97.90685504,99.72837347,99.56576869,98.34097842
CCR5,92.9913732,92.53762833,93.60453177,93.85739059,93.79476779,94.17298847,93.95254416,92.76667947,93.5452171,94.70973108,95.03494025,93.74610426,93.87229294,94.58228853,93.17964766,93.58213759,95.22664349,94.27915042,95.82001032,93.75349994,93.02922701,93.0565403,91.90627173,92.66005103,92.67832453,91.44069263,93.07999313,93.37856921,94.06392483,93.93062378,93.53774029,92.95335464,93.28810783,94.67634375,94.70979385,95.50471543,92.76313799,94.38062327,94.86207136,92.16172296,94.07814664,93.33299166,94.22274295,94.23083847,93.7584404,95.78953255,93.17101519,93.85005948,93.97792048,92.07506922,93.53670812,92.40501199,94.61462407,94.41866643,92.42813435,93.95345751,94.89293574,93.8154627,92.99577319,91.85017996,92.6272779,92.0524452,92.50988259,93.33665156,93.14053104,94.4361228,92.86240702,94.28721168,94.39968898,93.2858037,92.07179543,93.25756788,93.35720872,94.64946484,93.95121251,93.78091857,92.49371576,94.18048515,93.19143195,95.6816438,93.75414351,94.72596564,93.78767003,93.80852647,92.70629369,91.56021987,93.52304301,93.50256678,95.13680945,95.09181094,95.20409683,92.97452461,94.84559898,94.31600376,93.66837237,93.71939002,93.6754288,94.07819015,94.30264218,94.57890743,94.41488232,94.11165734,93.29365344,95.36179625,94.83800719,92.86245956,92.36237681,94.34386559,95.34146939,92.22603633,93.98656931,93.71286766,93.62572213,93.42665604,93.647118,93.76772111,94.00910916,92.87925663,93.07416085,94.2159055
CCL7,105.6142237,105.5608421,105.778571,106.6340363,106.1929579,103.7180634,104.8848001,104.6803745,103.0172999,105.9308394,104.8116809,104.6461643,107.1541048,106.1892569,105.1893416,105.1351342,106.2990669,105.6922318,105.2045744,105.5483852,106.4393218,106.0212343,105.6103295,105.1089733,105.5624754,105.789069,103.7833416,106.2594852,107.4289661,108.2526162,104.7934758,108.5908633,105.0431555,107.4523614,106.1705076,105.7993306,106.2056925,104.2501288,105.2642292,105.1678691,107.3939081,104.0097241,107.2903452,106.376271,105.7624381,104.7087833,104.7453783,105.0094245,104.0498561,106.1033682,105.3031142,106.1038189,105.0934349,104.3154349,105.0313105,107.1785183,105.7932446,107.1539064,106.4281382,104.8767489,105.1695565,105.9863304,105.9588923,105.1941203,105.7733487,106.0237623,105.3958565,107.2022592,106.7536384,106.0170104,106.1824739,105.5526423,105.6628418,105.8545692,106.2035324,106.4220395,107.0038501,104.4953642,104.1311425,104.9856212,105.6213647,105.1172636,106.940412,106.4374933,103.5816899,104.125876,106.4989574,105.9262108,104.4231019,105.3582668,105.0113174,105.4010497,105.0269759,105.5965124,106.5561892,106.8582243,105.7292369,106.3295039,105.5942763,104.3835088,106.5208347,106.1545508,104.2767714,106.4226791,104.8694381,107.1277465,105.1287613,104.0083564,104.4421705,105.7597562,104.1829994,104.3546296,105.0642649,103.9519438,104.8841117,106.5883273,106.0704318,106.4948555,104.416522,105.5116372
FGFR1OP2,99.64251333,100.6931137,100.33146,101.0952508,100.6662022,100.4603777,99.88256774,98.24854561,100.4670776,98.71022392,98.80474937,100.7589208,102.6958865,100.6970333,100.9572777,99.35258699,99.27494412,100.9689276,100.7283769,100.2465187,100.2571443,99.68147958,99.5824773,100.9234744,100.430972,99.2556812,98.19035881,100.9995878,100.0548439,99.79563516,99.44576985,98.58136062,100.4200271,99.52628879,99.3177717,100.3003267,99.9488253,100.2570372,100.6809668,100.4106208,99.48089552,99.30772685,100.9120661,99.48255357,99.90131075,99.33372864,99.99346932,98.09369815,101.4851618,100.0407729,98.1409963,98.60877225,100.6498518,98.17456447,100.1240267,98.52275168,101.9213626,99.00290524,100.4828984,99.40031407,101.1105981,99.62369679,99.26787565,98.29929715,100.8451222,98.86387458,100.3976671,100.1443429,100.1126786,100.4059965,100.6661971,100.7803091,99.02847011,99.70479066,99.90522496,99.89042691,99.9175176,100.2856349,100.6559296,99.4816697,99.69610594,100.4182882,101.5175985,99.65574254,101.1082406,100.3186753,100.7218866,99.12772499,101.3988101,99.04799228,100.4154947,97.44540836,102.1911193,99.19347341,100.8764588,98.91981849,99.39559787,100.6555507,99.75214529,102.0511855,98.56262103,99.86106611,101.5237459,99.81607064,100.7770482,100.1025218,99.20713535,101.2410686,100.0574672,100.8831252,98.62154984,99.80639155,100.5778133,100.7788486,100.6456169,101.9974514,100.9449867,99.21808155,98.58810852,100.7417038
FAAH,106.0130153,107.2966217,107.6827872,108.4961718,107.8402718,108.4658234,109.0873011,108.2933019,109.2692897,107.3530723,108.443201,108.8437196,110.3368757,108.9672584,109.747861,108.4097368,107.9868767,110.5954742,106.5405153,109.1967983,107.0902073,108.4828833,107.8341873,107.9861787,108.6380255,109.0978774,108.9899747,109.3338451,108.0884014,108.3929974,107.1391906,109.1476253,106.3421162,110.4316062,108.8440419,108.7594642,108.1258063,108.557722,109.1882196,107.3723954,107.5581841,106.2120965,108.1612114,108.6980404,107.5728792,107.1291674,110.2552133,109.1460091,108.7208142,106.9912361,107.5036866,108.2789406,106.9001937,108.9835711,108.7769703,106.4479168,109.1999468,105.9102551,108.0852061,108.8455074,110.0093371,108.67941,109.1794447,107.6259853,107.9934953,108.7547497,106.4502098,108.2494921,108.7306079,108.3467883,108.9623488,107.3877185,108.1134982,107.7488065,108.3907605,107.1588572,106.7494779,110.9885724,108.7430563,108.1194406,109.0433731,107.7118704,108.001589,108.428109,110.1194056,107.9683023,105.77977,109.6773735,108.0221771,107.2649254,108.0328023,107.6834781,108.1371257,107.9858383,107.5555908,109.1126501,109.0910293,106.7339632,109.477005,109.2929156,108.1424022,108.0349185,108.732855,111.6071964,108.4807185,107.0243,107.4102287,108.0447124,108.342702,106.4362782,109.5817367,108.6762358,108.6704789,107.4880131,108.9781423,108.7038573,107.5222913,109.091785,106.2764777,109.2271526
CLEC4F,105.1782152,103.2966112,104.0427475,100.3976927,101.683189,103.607557,103.5509855,102.7034236,102.8651356,102.5069503,102.5538014,103.0419606,104.868801,102.7655093,104.0959253,101.9455685,103.5129191,105.0226636,104.384371,102.718773,103.6642188,103.933969,103.7803621,103.8122704,102.6988101,101.267548,104.5430816,106.9084012,103.8597418,102.9200037,103.1068919,103.802269,103.2814542,103.8553008,102.4039723,104.0326971,102.390193,103.5670169,103.976202,102.7998953,104.9026834,103.7744707,103.2462879,101.7262509,102.6115029,104.3564778,102.9598048,102.8926832,104.163271,104.1056621,103.6464107,105.1679543,102.4287474,102.875934,104.5178718,104.577895,103.4602395,103.3436085,102.9598311,103.3127277,104.0748841,104.5304643,102.8218037,103.7221691,104.1491144,106.0030886,103.080278,101.2172497,103.6231561,102.4807268,102.9975865,104.476251,104.5659849,104.6213396,104.4739686,104.7633455,104.5354915,102.765549,103.4525405,103.0939253,103.5316655,102.2660504,102.621724,104.3782733,104.682097,101.9895496,102.8042609,103.4748276,103.1801607,105.2501318,105.2227512,104.3774584,104.3332593,103.7121472,102.8535135,104.244526,104.6825075,102.0428364,102.6037733,102.9812088,103.5326627,103.6317864,104.0080184,104.6425481,105.0317686,103.4468597,103.82395,104.2029465,103.8568994,102.4268093,104.1223451,103.0663042,104.689361,103.8734068,103.3784356,103.7165026,105.4433267,103.4688872,103.5234983,103.2161091
